tag,display_name,slug,freq,seasonal_m,domain,cluster_unit,builder,roster,role,source_repo,source_config,target_column,max_series,notes,is_frequency_control,chronos2_n_train,chronos2_n_val,chronos2_n_test,chronos2_n_test_clusters,timesfm3_n_train,timesfm3_n_val,timesfm3_n_test,timesfm3_n_test_clusters,tirex_n_train,tirex_n_val,tirex_n_test,tirex_n_test_clusters
m4_hourly,M4,m4,1H,24,mixed hourly,series,rolling_within_series,paper14,primary,autogluon/chronos_datasets,m4_hourly,target,,,False,1394,262,262,262,,,,,1394,262,262,262
monash_electricity_hourly,Electricity,electricity,1H,24,energy,series,rolling_within_series,paper14,primary,autogluon/chronos_datasets,monash_electricity_hourly,target,,,False,1394,262,262,262,1394,262,262,262,1394,262,262,262
uber_tlc_hourly,Uber TLC,uber_tlc,1H,24,transport / ride demand,series,rolling_within_series,paper14,primary,autogluon/chronos_datasets,uber_tlc_hourly,target,,,False,1394,262,262,262,1394,262,262,262,1394,262,262,262
wind_farms_hourly,Wind Farms,wind_farms,1H,24,renewable generation,series,rolling_within_series,paper14,primary,autogluon/chronos_datasets,wind_farms_hourly,target,,"yield screen 2026-09-21: 21.95% of val/test windows have a CONSTANT future (mad_const == 0), the highest in the roster; those windows score ~0 at every depth and compress the layer-to-layer differences.",False,1394,262,262,262,1394,262,262,262,1394,262,262,262
sg_carpark,SG Carpark,sg_carpark,1H(agg),24,transport / parking,carpark,rolling_cluster,paper14,primary,,,,,,False,1394,354,354,354,1394,354,354,354,1394,354,354,354
coastal_ts,Coastal T-S,coastal_ts,1H,24,nature / oceanography,station,rolling_cluster,paper14,primary,,,,,24 clusters (2 variates per station) -> 48 val/test windows; the weakest statistical support in the roster.,False,1394,48,48,24,1394,48,48,24,1394,48,48,24
boom_hourly,BOOM,boom,1H,24,cloud observability,metric_query,rolling_cluster,paper14,primary,,,,,"yield screen: median constant-forecast MAD 0.121, ~3x lower than any other dataset -> least dynamic range; small absolute deltas mean less here.",False,1394,354,354,354,1394,354,354,354,1394,354,354,354
LOOP_SEATTLE_5T,Loop Seattle,loop_seattle_5t,5min,288,road speed,series,rolling_within_series,paper14,primary,autogluon/fev_datasets,LOOP_SEATTLE_5T,target,,,False,1394,262,262,262,1394,262,262,262,1394,262,262,262
electricity_15min,Electricity 15min,electricity_15min,15min,96,energy,series,rolling_within_series,paper14,control,autogluon/chronos_datasets,electricity_15min,consumption_kW,,"FREQUENCY CONTROL, not domain diversity: the same 370 meters as monash_electricity_hourly at 4x the sampling rate. It holds domain and series fixed and varies only the rate. Never count it toward domain coverage.",True,1394,262,262,262,1394,262,262,262,1394,262,262,262
SZ_TAXI_15T,SZ Taxi,sz_taxi_15t,15min,96,road speed,series,rolling_within_series,paper14,primary,autogluon/fev_datasets,SZ_TAXI_15T,target,,,False,1394,156,156,156,1394,156,156,156,1394,156,156,156
monash_london_smart_meters,London Smart Meters,monash_london_smart_meters,30min,48,residential energy,series,rolling_within_series,paper14,primary,autogluon/chronos_datasets,monash_london_smart_meters,target,1394,5555 eligible series -> deterministic cap. Sparse isolated NaNs poison the unused canonical denominator for 98.5% of series; the REPORTED in-context denominator is unaffected (the context is finite by construction).,False,1394,262,262,262,1394,262,262,262,1394,262,262,262
m5,M5,m5,1D,7,retail,series,rolling_within_series,paper14,primary,autogluon/chronos_datasets,m5,target,1394,"28491 eligible series -> deterministic cap. The yield screen's degeneracy trigger did NOT fire (median constant-forecast MAD 0.490), so rossmann_1D stays a benched alternate.",False,1394,262,262,262,1394,262,262,262,1394,262,262,262
wiki_daily_100k,Wiki Daily,wiki_daily_100k,1D,7,web traffic,series,rolling_within_series,paper14,primary,autogluon/chronos_datasets,wiki_daily_100k,target,1394,100000 eligible series -> deterministic cap; the largest raw load in the roster (~2.2 GB of float64 series).,False,1394,262,262,262,1394,262,262,262,1394,262,262,262
monash_traffic,Traffic,monash_traffic,1H,24,road volume,series,rolling_within_series,paper14,primary,autogluon/chronos_datasets,monash_traffic,target,,,False,1394,262,262,262,1394,262,262,262,1394,262,262,262
